,ResponseId,cue,num_resp,R1,R2,R3
1,R_2Y5qEF7tp48wAsz,4D,1,lottery,NA,NA
2,R_2Y5qEF7tp48wAsz,Ah Lian,1,female hooligan,NA,NA
3,R_2Y5qEF7tp48wAsz,alamak,1,oh my god,NA,NA
4,R_2Y5qEF7tp48wAsz,ar,1,what,NA,NA
5,R_2Y5qEF7tp48wAsz,balik kampong,1,go back home,NA,NA
6,R_2Y5qEF7tp48wAsz,berak,1,shit,NA,NA
7,R_2Y5qEF7tp48wAsz,bo geh,1,toothless,NA,NA
8,R_2Y5qEF7tp48wAsz,bo tao boh beh,3,headless and tailless,unclear,puzzling
9,R_2Y5qEF7tp48wAsz,botak,1,bald,NA,NA
10,R_2Y5qEF7tp48wAsz,buay steady,1,unsupportive,NA,NA
11,R_2Y5qEF7tp48wAsz,buay tahan,1,can't take it,NA,NA
12,R_2Y5qEF7tp48wAsz,chap lau chu,I don't know this word,NA,NA,NA
13,R_2Y5qEF7tp48wAsz,'cher,1,teacher,NA,NA
14,R_2Y5qEF7tp48wAsz,cmi,1,cannot make it,NA,NA
15,R_2Y5qEF7tp48wAsz,da bao,1,take away,NA,NA
16,R_2Y5qEF7tp48wAsz,don't play play,3,don't compete,don't mess with me,don't fool me
17,R_2Y5qEF7tp48wAsz,eeyer,2,gross,shame,NA
18,R_2Y5qEF7tp48wAsz,gabra,I don't know this word,NA,NA,NA
19,R_2Y5qEF7tp48wAsz,geh geh,1,faking,NA,NA
20,R_2Y5qEF7tp48wAsz,gor chiam tua guay gu chia leng,I don't know this word,NA,NA,NA
21,R_2Y5qEF7tp48wAsz,handphone,1,smart phone,NA,NA
22,R_2Y5qEF7tp48wAsz,hong bao,1,red packet,NA,NA
23,R_2Y5qEF7tp48wAsz,kayu,I don't know this word,NA,NA,NA
24,R_2Y5qEF7tp48wAsz,kiam,I don't know this word,NA,NA,NA
25,R_2Y5qEF7tp48wAsz,kiam pa,2,asking for a beating,deserving of a slap,NA
26,R_2Y5qEF7tp48wAsz,kiasi,3,scared to die,gutless,cowardice
27,R_2Y5qEF7tp48wAsz,lah,I recognise this word but cannot think of anything,NA,NA,NA
28,R_2Y5qEF7tp48wAsz,leh chey,2,troublesome,tedious,NA
29,R_2Y5qEF7tp48wAsz,lobang,1,good deals,NA,NA
30,R_2Y5qEF7tp48wAsz,lun zun,I don't know this word,NA,NA,NA
31,R_2Y5qEF7tp48wAsz,obiang,1,old fashioned,NA,NA
32,R_2Y5qEF7tp48wAsz,orbi,1,serves you right,NA,NA
33,R_2Y5qEF7tp48wAsz,orh,2,okay,acknowledgement,NA
34,R_2Y5qEF7tp48wAsz,owadio,1,Operationally Ready Date,NA,NA
35,R_2Y5qEF7tp48wAsz,ownself,2,myself,yourself,NA
36,R_2Y5qEF7tp48wAsz,pia,I don't know this word,NA,NA,NA
37,R_2Y5qEF7tp48wAsz,pok kai,2,broke,penniless,NA
38,R_2Y5qEF7tp48wAsz,pon,1,skip,NA,NA
39,R_2Y5qEF7tp48wAsz,sam seng,I don't know this word,NA,NA,NA
40,R_2Y5qEF7tp48wAsz,shame shame,2,shame,often used with kids,NA
